iter	RMSE
817	0.109744917
818	0.1096666562
819	0.1096166466
820	0.1095720361
821	0.1095206962
822	0.1094203621
823	0.1093715761
824	0.1092820353
825	0.109216741
826	0.1090266291
827	0.1088470554
828	0.1086706779
829	0.1085657298
830	0.1085127042
831	0.1083450335
832	0.1082595912
833	0.1082084883
834	0.1080085961
835	0.1079099985
836	0.1077769351
837	0.107729389
838	0.1075390576
839	0.1074916255
840	0.1074342286
841	0.1073137984
842	0.1072434163
843	0.1071831836
844	0.1070482435
845	0.1069602776
846	0.1069066016
847	0.1067745441
848	0.1065173256
849	0.1064141355
850	0.1063203571
851	0.1061757827
852	0.1060841651
853	0.1059894348
854	0.1059181401
855	0.105836373
856	0.1057772121
857	0.1057096723
858	0.105664935
859	0.1054671438
860	0.1053116545
861	0.1052136002
862	0.1050933576
863	0.1050340525
864	0.1049898592
865	0.1049654899
866	0.1048916988
867	0.1048309828
868	0.1047560045
869	0.1046821271
870	0.1046015265
871	0.1045706482
872	0.1044870497
873	0.1044474251
874	0.1043855695
875	0.1042957008
876	0.1042689112
877	0.1040957172
878	0.1040383836
879	0.1038508156
880	0.1038141047
881	0.1037686573
882	0.1036818613
883	0.1036316734
884	0.1035789854
885	0.103508357
886	0.1034742194
887	0.1034543799
888	0.1033899679
889	0.1033376138
890	0.1032899916
891	0.1032619436
892	0.103155119
893	0.1030822476
894	0.1030542593
895	0.1028878852
896	0.1028403758
897	0.1026681149
898	0.1025546126
899	0.1024747015
900	0.1024381799
901	0.1022831183
902	0.102216942
903	0.1021417072
904	0.1021217694
905	0.1020150337
906	0.1019697507
907	0.1018644437
908	0.1018213444
909	0.1016585884
910	0.1015408127
911	0.1014603441
912	0.101316089
913	0.1012674541
914	0.1012107632
915	0.1011170234
916	0.101049132
917	0.1010009332
918	0.100887897
919	0.1008044657
920	0.1007019894
921	0.1006814514
922	0.1005578896
923	0.1005002795
924	0.1004328814
925	0.1003497368
926	0.1003330117
927	0.1002525478
928	0.1001163073
929	0.1000638126
930	0.1000226259
931	0.09991240097
932	0.09979208141
933	0.09975008947
934	0.09970992834
935	0.09969401824
936	0.09956556365
937	0.09952406294
938	0.09936916475
939	0.09925445901
940	0.09920785354
941	0.09911380294
942	0.09900827644
943	0.09886126152
944	0.09881831295
945	0.09871019911
946	0.09861126063
947	0.09857796544
948	0.09854186304
949	0.09850438114
950	0.09842158788
951	0.0983864765
952	0.09831568992
953	0.09825583469
954	0.09824280596
955	0.09814196342
956	0.09808329492
957	0.09804808496
958	0.09789722728
959	0.09775819861
960	0.09771367387
961	0.09763455541
962	0.0975861741
963	0.09753344424
964	0.0974069244
965	0.09733518301
966	0.09726693152
967	0.09721613897
968	0.09714064858
969	0.09701618774
970	0.09688215753
971	0.09685726213
972	0.09679886712
973	0.09665333338
974	0.09657876438
975	0.09647017244
976	0.09641235962
977	0.09636887569
978	0.09628679487
979	0.09624872705
980	0.0961830264
981	0.09610651798
982	0.09600003662
983	0.09599406793
984	0.0959623968
985	0.0959197914
986	0.09586383247
987	0.09579566236
988	0.09570541524
989	0.09556247405
990	0.09547345805
991	0.09543456999
992	0.0952983878
993	0.09524777977
994	0.09521984362
995	0.09510464293
996	0.09505405097
997	0.0950226657
998	0.09498764919
999	0.09496032338
